"HumanGene","GammadeltaTcells_Daudi_Gammadelta_posscore","GammadeltaTcells_Daudi_Gammadelta_posrank","GammadeltaTcells_Daudi_Gammadelta_negscore","GammadeltaTcells_Daudi_Gammadelta_negrank"
"EXOC3L2",0.98155,15842,0.5808,8330
"EXOC3L4",0.31219,7909,0.72027,10135
"EXOC4",0.18803,6287,0.97348,16794
"EXOC5",0.37102,8742,0.070544,3115
"EXOC6",0.37194,8759,0.90621,14543
"EXOC6B",0.43849,9689,0.96506,16468
"EXOC7",0.20638,6549,0.96875,16604
"EXOC8",0.35022,8432,0.85783,13154
"EXOG",0.87756,14029,0.027493,2687
"EXOSC1",0.88179,14087,0.048216,2905
"EXOSC10",0.98698,15998,0.032697,2781
"EXOSC2",0.99986,17102,0.00013763,1088
"EXOSC3",0.98854,16051,0.0020504,1850
"EXOSC4",0.99997,17401,1.5379e-05,575
"EXOSC5",0.99901,16687,0.00054042,1454
"EXOSC6",0.50541,10590,1.5752e-05,585
"EXOSC7",0.99858,16613,0.001425,1739
"EXOSC8",0.99972,16949,0.00027818,1261
"EXOSC9",0.88072,14067,0.01706,2431
"EXPH5",0.052237,2884,0.43664,6899
"EXT1",0.17757,6086,0.71894,10110
"EXT2",0.20804,6568,0.47041,7381
"EXTL1",0.95188,15217,0.8733,13585
"EXTL2",0.17268,5971,0.56999,8236
"EXTL3",0.019701,1528,0.97532,16861
"EYA1",0.01172,1047,0.91914,14936
"EYA2",0.53871,10788,0.86504,13351
"EYA3",0.25327,7154,0.91557,14820
"EYA4",0.16444,5761,0.33896,5576
"EYS",0.48433,10362,0.24271,4637
"EZH1",0.09711,4094,0.73323,10364
"EZH2",0.99176,16172,0.0040581,1993
"EZR",0.99953,16857,0.000468,1404
"F10",0.090901,3939,0.91939,14945
"F11",0.054096,2942,0.82013,12094
"F11R",0.93676,14949,0.24921,4692
"F12",0.38115,8884,0.8781,13710
"F13A1",0.21798,6684,0.26197,4779
"F13B",0.20011,6452,0.98704,17318
"F2",0.13811,5121,0.9517,16011
"F2R",0.32789,8110,0.054443,2964
"F2RL1",0.85433,13649,0.23831,4615
"F2RL2",0.035697,2391,0.82438,12208
"F2RL3",0.065703,3285,0.5196,7836
"F3",0.41662,9370,0.52161,7854
"F5",0.6929,11892,0.93322,15393
"F7",0.43692,9659,0.96997,16653
"F8",0.12918,4902,0.9665,16525
"F8A3",0.99987,17112,0.00013026,1070
"F9",0.47972,10288,0.95282,16056
"FA2H",0.23069,6859,0.83573,12521
"FAAH",0.11792,4596,0.60655,8595
"FAAH2",0.099167,4150,0.81604,11991
"FABP1",0.88201,14092,0.37079,5986
"FABP12",0.048649,2778,0.61573,8688
"FABP2",0.15428,5533,0.57352,8259
"FABP3",0.86179,13770,0.35633,5796
"FABP4",0.39895,9126,0.83847,12594
"FABP5",0.91644,14621,0.08356,3241
"FABP6",0.13836,5132,0.84688,12839
"FABP7",0.34661,8380,0.73169,10335
"FADD",0.024613,1774,0.95351,16074
"FADS1",0.1756,6032,0.52748,7889
"FADS2",0.44111,9731,0.82645,12259
"FADS3",0.40401,9198,0.56584,8193
"FADS6",0.26438,7302,0.86755,13420
"FAF1",0.022776,1686,0.9168,14859
"FAF2",0.99948,16837,0.00052489,1440
"FAH",0.32763,8107,0.93465,15437
"FAHD1",0.89466,14274,0.31503,5290
"FAHD2A",0.84065,13449,0.054105,2961
"FAHD2B",0.032836,2231,0.20696,4407
"FAIM",0.47532,10219,0.42418,6718
"FAIM2",0.055013,2974,0.87983,13747
"FAIM3",0.1862,6256,0.46328,7285
"FAM101A",0.033703,2291,0.46894,7357
"FAM102A",0.50671,10603,0.82904,12341
"FAM102B",0.11095,4432,0.83626,12539
"FAM103A1",0.99997,17408,2.8295e-05,713
"FAM104A",0.98749,16015,0.32444,5385
"FAM104B",0.13323,5001,0.23422,4588
"FAM105A",0.99304,16220,0.0069618,2134
"FAM105B",0.8018,12963,0.77606,11138
